PROCESSO,NOME,SUBS,FASE,AREA_HA,ULT_EVENTO,lat,lon,dist_km_rodrigo_silva
834400/2012,Itasider Usina Siderurgica Itaminas S A,MINÉRIO DE OURO,AUTORIZAÇÃO DE PESQUISA,1425.06,642 - AUT PESQ/TAH - PAGAMENTO MULTA EFETUADO EM 04/04/2022,-15.9418,-42.4796,511.3
834038/2012,Itasider Usina Siderurgica Itaminas S A,MINÉRIO DE OURO,APTO PARA DISPONIBILIDADE,1986.34,2275 - APTO DISP/ÁREA APTA PARA DISPONIBILIDADE EM 19/04/2023,-15.9323,-42.4506,513.0
834403/2012,Itasider Usina Siderurgica Itaminas S A,MINÉRIO DE OURO,AUTORIZAÇÃO DE PESQUISA,800.55,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 04/04/2022,-15.9261,-42.4192,514.5
832461/2008,Itasider Usina Siderurgica Itaminas S A,MINÉRIO DE FERRO,REQUERIMENTO DE PESQUISA,869.71,122 - REQ PESQ/INDEFERIMENTO P/NÃO CUMPRIMENTO DE EXIGÊNCIA PUBL EM 18/01/2013,-15.8819,-42.5912,515.2
834402/2012,Itasider Usina Siderurgica Itaminas S A,MINÉRIO DE OURO,AUTORIZAÇÃO DE PESQUISA,696.53,642 - AUT PESQ/TAH - PAGAMENTO MULTA EFETUADO EM 04/04/2022,-15.9002,-42.4405,516.7
832462/2008,Itasider Usina Siderurgica Itaminas S A,MINÉRIO DE FERRO,REQUERIMENTO DE PESQUISA,1109.25,122 - REQ PESQ/INDEFERIMENTO P/NÃO CUMPRIMENTO DE EXIGÊNCIA PUBL EM 18/01/2013,-15.8557,-42.5771,518.3
832463/2008,Itasider Usina Siderurgica Itaminas S A,MINÉRIO DE FERRO,REQUERIMENTO DE PESQUISA,612.81,122 - REQ PESQ/INDEFERIMENTO P/NÃO CUMPRIMENTO DE EXIGÊNCIA PUBL EM 18/01/2013,-15.8301,-42.5615,521.5
832464/2008,Itasider Usina Siderurgica Itaminas S A,MINÉRIO DE FERRO,REQUERIMENTO DE PESQUISA,805.13,122 - REQ PESQ/INDEFERIMENTO P/NÃO CUMPRIMENTO DE EXIGÊNCIA PUBL EM 18/01/2013,-15.8223,-42.5327,522.9
834108/2012,Itasider Usina Siderurgica Itaminas S A,MINÉRIO DE OURO,APTO PARA DISPONIBILIDADE,892.46,2275 - APTO DISP/ÁREA APTA PARA DISPONIBILIDADE EM 20/04/2023,-15.8396,-42.371,525.0
832156/2005,MINERACAO GUTE SICHT LTDA,MINÉRIO DE FERRO,CONCESSÃO DE LAVRA,34.44,474 - CONC LAV/DEFESA PROTOC EM 21/05/2026,-19.9259,-43.8703,60.3
831582/2012,TAQUARIL MINERACAO S.A.,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,2.09,318 - AUT PESQ/RELATÓRIO PESQUISA NÃO APROVADO ART 30 II CM PUBL EM 26/09/2023,-19.9568,-43.8627,56.8
830402/2005,TAQUARIL MINERACAO S.A.,FILITO,REQUERIMENTO DE LAVRA,398.04,365 - REQ LAV/CUMPRIMENTO EXIGÊNCIA PROTOC EM 23/09/2019,-19.9505,-43.8621,57.4
832028/2017,TAQUARIL MINERACAO S.A.,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,16.07,318 - AUT PESQ/RELATÓRIO PESQUISA NÃO APROVADO ART 30 II CM PUBL EM 23/03/2023,-19.9536,-43.8696,57.5
832190/2017,TAQUARIL MINERACAO S.A.,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,1.76,2481 - AUT PESQ/VENCIMENTO ALVARÁ ALTERADO RESOLUÇÃO 76/2021-COVID EM 01/10/2021,-19.9482,-43.8707,58.0
4791/1961,TAQUARIL MINERACAO S.A.,FERRO,CONCESSÃO DE LAVRA,158.58,1389 - CONC LAV/RETIFICAÇÃO DE DESPACHO PUBL EM 31/07/2026,-19.9479,-43.876,58.3
831207/1985,TAQUARIL MINERACAO S.A.,MINÉRIO DE FERRO,REQUERIMENTO DE LAVRA,562.46,336 - REQ LAV/DOCUMENTO DIVERSO PROTOC EM 17/01/2023,-19.9346,-43.8491,58.5
831142/2005,TAQUARIL MINERACAO S.A.,MINÉRIO DE FERRO,REQUERIMENTO DE LAVRA,49.31,391 - REQ LAV/PEDIDO RECONSIDERAÇÃO PROTOC EM 01/06/2026,-19.9483,-43.8864,58.8
833232/2003,TAQUARIL MINERACAO S.A.,MINÉRIO DE FERRO,REQUERIMENTO DE LAVRA,310.31,336 - REQ LAV/DOCUMENTO DIVERSO PROTOC EM 17/01/2023,-19.937,-43.877,59.4
831073/2005,TAQUARIL MINERACAO S.A.,MINÉRIO DE FERRO,REQUERIMENTO DE LAVRA,382.72,365 - REQ LAV/CUMPRIMENTO EXIGÊNCIA PROTOC EM 23/09/2019,-19.9121,-43.824,59.9
830401/2005,TAQUARIL MINERACAO S.A.,MINÉRIO DE FERRO,REQUERIMENTO DE LAVRA,79.89,365 - REQ LAV/CUMPRIMENTO EXIGÊNCIA PROTOC EM 23/09/2019,-19.923,-43.8601,60.1
830116/2012,TAQUARIL MINERACAO S.A.,MINÉRIO DE FERRO,REQUERIMENTO DE LAVRA,5.08,391 - REQ LAV/PEDIDO RECONSIDERAÇÃO PROTOC EM 22/11/2024,-19.9248,-43.8654,60.2
291701/1936,Topazio Imperial Mineração Comercio e Industria Ltda,FERRO,CONCESSÃO DE LAVRA,78.78,2 - DOCUMENTO DIVERSO PROTOC EM 09/04/2007,-20.4161,-43.626,0.6
832784/1989,Topazio Imperial Mineração Comercio e Industria Ltda,GEMA,AUTORIZAÇÃO DE PESQUISA,24.84,236 - AUT PESQ/DOCUMENTO DIVERSO PROTOC EM 19/10/2004,-20.4241,-43.6195,1.2
800645/1971,Topazio Imperial Mineração Comercio e Industria Ltda,TOPÁZIO,CONCESSÃO DE LAVRA,349.1,473 - CONC LAV/CUMPRIMENTO EXIGÊNCIA PROTOC EM 04/05/2009,-20.4307,-43.6436,1.9
800214/1978,Topazio Imperial Mineração Comercio e Industria Ltda,TOPÁZIO,CONCESSÃO DE LAVRA,163.48,1974 - SUSPENSÃO DE ANÁLISE - CONFLITO PROJ ENERGÉTICO PUBL EM 08/07/2013,-20.4232,-43.6104,2.1
827501/1972,Topazio Imperial Mineração Comercio e Industria Ltda,TOPÁZIO,CONCESSÃO DE LAVRA,62.78,473 - CONC LAV/CUMPRIMENTO EXIGÊNCIA PROTOC EM 26/10/2020,-20.4129,-43.65,2.2
830689/1980,Topazio Imperial Mineração Comercio e Industria Ltda,TOPÁZIO,CONCESSÃO DE LAVRA,4.29,2 - DOCUMENTO DIVERSO PROTOC EM 09/04/2007,-20.4131,-43.6521,2.4
804805/1976,Topazio Imperial Mineração Comercio e Industria Ltda,TOPÁZIO,CONCESSÃO DE LAVRA,44.37,2 - DOCUMENTO DIVERSO PROTOC EM 09/04/2007,-20.4159,-43.6544,2.6
830687/1980,Topazio Imperial Mineração Comercio e Industria Ltda,GEMA,CONCESSÃO DE LAVRA,22.77,2 - DOCUMENTO DIVERSO PROTOC EM 09/04/2007,-20.4185,-43.6555,2.7
832783/1989,Topazio Imperial Mineração Comercio e Industria Ltda,TOPÁZIO IMPERIAL,AUTORIZAÇÃO DE PESQUISA,14.32,251 - AUT PESQ/PRORROGAÇÃO PRAZO EXIGÊNCIA PROTOC EM 09/10/2017,-20.4348,-43.6538,3.0
830060/1986,Topazio Imperial Mineração Comercio e Industria Ltda,GEMA,CONCESSÃO DE LAVRA,49.98,477 - CONC LAV/RECURSO PROTOC EM 25/04/2022,-19.6395,-43.1106,102.1
