UF,PROCESSO,NOME,SUBS,FASE,AREA_HA,ULT_EVENTO,lat,lon
PA,850799/2024,3D MINERALS LTDA,MINÉRIO DE COBRE,AUTORIZAÇÃO DE PESQUISA,9995.39,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 06/07/2026,-5.6482,-51.1874
PA,850816/2024,3D MINERALS LTDA,OURO,REQUERIMENTO DE PESQUISA,6938.34,100 - REQ PESQ/REQUERIMENTO PESQUISA PROTOC EM 28/11/2024,-6.8298,-55.8199
PA,850800/2024,3D MINERALS LTDA,MINÉRIO DE COBRE,AUTORIZAÇÃO DE PESQUISA,4792.94,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 07/07/2026,-6.941,-51.5073
PA,850834/2024,3D MINERALS LTDA,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,7598.95,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 15/07/2026,-8.6817,-50.1678
PA,850807/2024,3D MINERALS LTDA,MINÉRIO DE COBRE,AUTORIZAÇÃO DE PESQUISA,4530.21,2847 - REQ PESQ/RECURSO NEGADO-SUPERINTENDENTE PUBL EM 02/06/2026,-5.7848,-49.7745
PA,850805/2024,3D MINERALS LTDA,MINÉRIO DE COBRE,AUTORIZAÇÃO DE PESQUISA,2918.71,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 06/07/2026,-5.9462,-49.9408
PA,867029/2024,3D MINERALS LTDA,MINÉRIO DE COBRE,AUTORIZAÇÃO DE PESQUISA,9918.56,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 28/01/2026,-9.4617,-56.0031
PA,850864/2024,3D MINERALS LTDA,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,7593.28,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 14/07/2026,-8.7743,-50.665
PA,850830/2024,3D MINERALS LTDA,MINÉRIO DE COBRE,AUTORIZAÇÃO DE PESQUISA,5120.97,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 07/07/2026,-5.7241,-49.3648
PA,850859/2024,3D MINERALS LTDA,MINÉRIO DE COBRE,AUTORIZAÇÃO DE PESQUISA,674.93,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 05/01/2026,-6.888,-52.0081
PA,850867/2024,3D MINERALS LTDA,MINÉRIO DE COBRE,AUTORIZAÇÃO DE PESQUISA,3391.58,2847 - REQ PESQ/RECURSO NEGADO-SUPERINTENDENTE PUBL EM 02/06/2026,-6.7499,-50.9258
PA,850803/2024,3D MINERALS LTDA,MINÉRIO DE COBRE,AUTORIZAÇÃO DE PESQUISA,4294.65,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 07/07/2026,-5.8526,-50.5825
PA,850849/2024,3D MINERALS LTDA,MINÉRIO DE COBRE,AUTORIZAÇÃO DE PESQUISA,1758.13,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 06/01/2026,-5.2491,-48.7462
PA,850858/2024,3D MINERALS LTDA,MINÉRIO DE COBRE,REQUERIMENTO DE PESQUISA,8858.8,2847 - REQ PESQ/RECURSO NEGADO-SUPERINTENDENTE PUBL EM 02/06/2026,-5.3672,-50.4229
PA,850866/2024,3D MINERALS LTDA,MINÉRIO DE COBRE,AUTORIZAÇÃO DE PESQUISA,3052.88,2847 - REQ PESQ/RECURSO NEGADO-SUPERINTENDENTE PUBL EM 02/06/2026,-6.1766,-49.6732
PA,864384/2024,3D MINERALS LTDA,FOSFATO,AUTORIZAÇÃO DE PESQUISA,7269.27,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 14/07/2026,-5.737,-48.2752
PA,850900/2024,3D MINERALS LTDA,MINÉRIO DE COBRE,AUTORIZAÇÃO DE PESQUISA,4673.94,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 07/07/2026,-5.4238,-49.3251
PA,850316/2025,3D MINERALS LTDA,MINÉRIO DE COBRE,AUTORIZAÇÃO DE PESQUISA,4151.12,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 07/07/2026,-6.0334,-49.7136
PA,850310/2025,3D MINERALS LTDA,MINÉRIO DE OURO,REQUERIMENTO DE PESQUISA,9961.96,136 - REQ PESQ/DOCUMENTO DIVERSO PROTOC EM 26/06/2025,-6.9055,-49.9268
PA,850313/2025,3D MINERALS LTDA,MINÉRIO DE COBRE,AUTORIZAÇÃO DE PESQUISA,2469.23,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 06/07/2026,-6.6469,-51.0112
