dist_km,NOME,SUBS,FASE,AREA_HA,PROCESSO,lat,lon
4.5,INGO GUSTAV WENDER,MINÉRIO DE FERRO,REQUERIMENTO DE PESQUISA,20.35,833303/2006,-20.3939,-43.6627
4.6,RNW MINERACAO E EXPORTACAO LTDA,MINÉRIO DE OURO,AUTORIZAÇÃO DE PESQUISA,6.75,830018/2022,-20.4608,-43.6231
4.6,"Brasroma Mineração, Comércio e Indústria Ltda",QUARTZO,REQUERIMENTO DE PESQUISA,343.53,832978/2012,-20.4446,-43.5941
4.8,MINERACAO SANTA CRUZ LTDA,TOPÁZIO,CONCESSÃO DE LAVRA,193.45,830046/1985,-20.4334,-43.6738
4.8,GERDAU ACOMINAS S/A,MINÉRIO DE FERRO,REQUERIMENTO DE LAVRA,13.97,831640/2003,-20.4441,-43.668
4.8,THIAGO DE CASTRO SOUSA,MINÉRIO DE FERRO,DISPONIBILIDADE,6.89,831270/2008,-20.4029,-43.6724
4.9,GERDAU ACOMINAS S/A,MINÉRIO DE FERRO,REQUERIMENTO DE LAVRA,69.52,833209/2006,-20.4344,-43.6749
5.0,TERRATIVA MINERAIS LTDA,MINÉRIO DE FERRO,REQUERIMENTO DE PESQUISA,761.46,831820/2011,-20.3868,-43.6624
5.0,"GOLD MINERACAO, PARTICIPACOES E EMPREENDIMENTOS S/A",MINÉRIO DE FERRO,REQUERIMENTO DE PESQUISA,854.24,831049/2017,-20.4297,-43.5835
5.0,BWJ QUARTZO DO BRASIL LTDA.-ME,QUARTZO,REQUERIMENTO DE LAVRA,30.37,833073/2011,-20.4608,-43.6507
5.0,PAROQUIA DE NOSSA SENHORA DO PILAR,TOPÁZIO,CONCESSÃO DE LAVRA,317.59,3168/1935,-20.4217,-43.582
5.0,CBRT PARTICIPACOES LTDA,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,1.36,832330/2024,-20.429,-43.677
5.1,Bemil Beneficiamento de Minérios Ltda,TOPÁZIO,REQUERIMENTO DE LAVRA,80.5,834407/2007,-20.3773,-43.6124
5.1,INFOGEO SERVICOS E LOCACOES LTDA,MINÉRIO DE FERRO,DISPONIBILIDADE,12.96,834700/1993,-20.3838,-43.6605
5.1,DADO NÃO CADASTRADO,DADO NÃO CADASTRADO,DISPONIBILIDADE,215.63,300975/2023,-20.3755,-43.6425
5.2,MINERACAO SANTA CRUZ LTDA,MINÉRIO DE FERRO,DISPONIBILIDADE,208.75,832406/2011,-20.4626,-43.6514
5.3,RS MINERACAO LTDA,MINÉRIO DE FERRO,CONCESSÃO DE LAVRA,97.6,832414/2007,-20.3973,-43.5848
5.3,NEO MINERALS SA,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,2.59,831196/2022,-20.4071,-43.5805
5.3,Arlei Pinto da Silva,QUARTZO,AUTORIZAÇÃO DE PESQUISA,80.15,832101/2022,-20.4502,-43.6693
5.3,GERDAU ACOMINAS S/A,MINÉRIO DE FERRO,REQUERIMENTO DE LAVRA,57.75,832044/2006,-20.4394,-43.6762
5.4,PAGEOMIN - PROJETOS DE GEOLOGIA E MINERACAO EIRELI,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,5.68,831422/2021,-20.4068,-43.5798
5.4,Vdl Participações Ltda,MINÉRIO DE FERRO,REQUERIMENTO DE PESQUISA,1714.06,831445/2012,-20.4471,-43.5872
5.5,VALE S.A.,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,472.23,833589/2004,-20.3889,-43.6708
5.5,Protasio de Melo Penna,MINÉRIO DE OURO,REQUERIMENTO DE PESQUISA,1981.99,831645/2009,-20.379,-43.6602
5.5,MINERACAO SANTA CRUZ LTDA,TOPÁZIO,REQUERIMENTO DE LAVRA,3.17,833524/2004,-20.4303,-43.6817
5.5,TELMO NAMEN LOPES FILHO,OURO,AUTORIZAÇÃO DE PESQUISA,32.59,831060/2021,-20.466,-43.6505
5.5,DADO NÃO CADASTRADO,DADO NÃO CADASTRADO,DISPONIBILIDADE,184.89,300890/2025,-20.4682,-43.6403
5.6,Enrico Guarneri Ltda,MÁRMORE,CONCESSÃO DE LAVRA,43.77,1389/1942,-20.4123,-43.6832
5.6,ESPOLIO DE SERAFIM DA SILVA GOMES,FERRO,CONCESSÃO DE LAVRA,834.3,2918/1936,-20.4322,-43.6822
5.7,MINERACAO SANTA CRUZ LTDA,TOPÁZIO,REQUERIMENTO DE LAVRA,1.92,832050/2006,-20.4326,-43.6836
5.7,CERTA PARTICIPACOES E INTERMEDIACOES LTDA,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,133.47,831793/2024,-20.3957,-43.5813
5.7,THIAGO DE CASTRO SOUSA,MINÉRIO DE FERRO,DISPONIBILIDADE,54.81,831270/2008,-20.3802,-43.664
5.8,Mineração Maracujá Comércio e Indústria de Minerais Ltda Me,TOPÁZIO,CONCESSÃO DE LAVRA,49.55,833226/2006,-20.3756,-43.6598
5.8,GERDAU ACOMINAS S/A,FERRO,CONCESSÃO DE LAVRA,146.3,3237/1936,-20.4513,-43.6752
5.9,José Roberto de Souza Lima,MÁRMORE,REQUERIMENTO DE PESQUISA,32.93,833806/2006,-20.4075,-43.6848
5.9,MINERIOS E JAZIDAS MINERAIS FME LTDA,GRANITO,REQUERIMENTO DE PESQUISA,44.08,831573/2013,-20.3871,-43.6739
5.9,TERRATIVA MINERAIS LTDA,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,261.71,830003/2012,-20.413,-43.6866
5.9,MINERACAO SANTA CRUZ LTDA,TOPÁZIO,REQUERIMENTO DE LAVRA,0.05,832049/2006,-20.4372,-43.684
5.9,MINERACAO SANTA CRUZ LTDA,TOPÁZIO,REQUERIMENTO DE LAVRA,1.86,832049/2006,-20.4351,-43.6846
6.0,MINERACAO TRES CRUZES LTDA,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,1.93,832870/2023,-20.3886,-43.5831
6.1,ANVIGEPI PARTICIPACOES SOCIETARIAS LTDA,MINÉRIO DE FERRO,REQUERIMENTO DE LAVRA,69.42,831777/2009,-20.4735,-43.6416
6.3,GERDAU ACOMINAS S/A,MINÉRIO DE FERRO,REQUERIMENTO DE LAVRA,68.36,830475/2007,-20.4222,-43.6907
6.3,INFOGEO SERVICOS E LOCACOES LTDA,MINÉRIO DE FERRO,DISPONIBILIDADE,212.89,834700/1993,-20.3848,-43.6779
6.4,"Brasroma Mineração, Comércio e Indústria Ltda",QUARTZO,REQUERIMENTO DE PESQUISA,257.95,833511/2012,-20.4512,-43.5784
6.5,MINERACAO & TRANSPORTE ROSA DO VALE LTDA,MINÉRIO DE OURO,AUTORIZAÇÃO DE PESQUISA,269.3,831621/2019,-20.3612,-43.628
6.5,MINERACAO GUARACIABA LTDA,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,34.91,830953/2020,-20.3627,-43.6165
6.8,MINERACAO TRES CRUZES LTDA,MINÉRIO DE FERRO,CONCESSÃO DE LAVRA,346.53,43309/1956,-20.3973,-43.5695
6.8,COMPANHIA SIDERURGICA NACIONAL,FERRO MANGANÊS,REQUERIMENTO DE PESQUISA,545.13,433091/1956,-20.4366,-43.5672
6.8,MINERIOS E JAZIDAS MINERAIS FME LTDA,MINÉRIO DE FERRO,REQUERIMENTO DE PESQUISA,39.7,832390/2016,-20.4238,-43.6953
6.8,GERDAU ACOMINAS S/A,MINÉRIO DE FERRO,CONCESSÃO DE LAVRA,428.06,4620/1946,-20.4446,-43.6899
7.0,ADMITEC SERVICOS LTDA,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,41.67,832010/2024,-20.3788,-43.579
7.2,WALTER JOSÉ DO AMARAL,ÁGUA MINERAL,AUTORIZAÇÃO DE PESQUISA,39.16,830672/2001,-20.3773,-43.5777
7.2,HG MINERACAO S/A,MINÉRIO DE FERRO,CONCESSÃO DE LAVRA,17.05,433093/1956,-20.3729,-43.5827
7.3,MINERACAO TRES CRUZES LTDA,MINÉRIO DE FERRO,DIREITO DE REQUERER A LAVRA,76.32,831385/2009,-20.3819,-43.573
7.3,GERDAU ACOMINAS S/A,FERRO,CONCESSÃO DE LAVRA,148.99,4575/1935,-20.4386,-43.6975
